RepeatId,GenerationId,popCount,aliveCount,totalCount,generations,treeDepth,nodeCount,leafCount,branching,subcloneTotal,subcloneSelect,clonalDiversity,treeBalance,meanDriversPerCell
58,0,1,58,569,1000,0,1,1,0,1,1,1,0,1
59,0,1,178,901,1000,0,1,1,0,1,1,1,0,1
60,0,1,85,589,1000,0,1,1,0,1,1,1,0,1
61,0,1,59,511,1000,0,1,1,0,1,1,1,0,1
62,0,1,89,570,1000,0,1,1,0,1,1,1,0,1
63,0,1,128,696,1000,0,1,1,0,1,1,1,0,1
64,0,1,96,635,1000,0,1,1,0,1,1,1,0,1
65,0,1,101,571,1000,0,1,1,0,1,1,1,0,1
66,0,1,100,531,1000,0,1,1,0,1,1,1,0,1
67,0,1,98,557,1000,0,1,1,0,1,1,1,0,1
68,0,1,55,487,1000,0,1,1,0,1,1,1,0,1
69,0,1,67,536,1000,0,1,1,0,1,1,1,0,1
70,0,1,79,623,1000,0,1,1,0,1,1,1,0,1
71,0,1,98,549,1000,0,1,1,0,1,1,1,0,1
72,0,1,68,537,1000,0,1,1,0,1,1,1,0,1
73,0,1,117,655,1000,0,1,1,0,1,1,1,0,1
74,0,1,97,556,1000,0,1,1,0,1,1,1,0,1
75,0,1,78,506,1000,0,1,1,0,1,1,1,0,1
76,0,1,54,491,1000,0,1,1,0,1,1,1,0,1
77,0,1,119,568,1000,0,1,1,0,1,1,1,0,1
78,0,1,106,563,1000,0,1,1,0,1,1,1,0,1
79,0,1,98,514,1000,0,1,1,0,1,1,1,0,1
80,0,1,83,478,1000,0,1,1,0,1,1,1,0,1
81,0,1,83,567,1000,0,1,1,0,1,1,1,0,1
82,0,1,70,520,1000,0,1,1,0,1,1,1,0,1
83,0,1,138,644,1000,0,1,1,0,1,1,1,0,1
84,0,1,88,586,1000,0,1,1,0,1,1,1,0,1
85,0,1,93,613,1000,0,1,1,0,1,1,1,0,1
86,0,1,96,575,1000,0,1,1,0,1,1,1,0,1
87,0,1,98,603,1000,0,1,1,0,1,1,1,0,1
88,0,1,80,508,1000,0,1,1,0,1,1,1,0,1
89,0,1,115,703,1000,0,1,1,0,1,1,1,0,1
90,0,1,52,400,1000,0,1,1,0,1,1,1,0,1
91,0,1,107,669,1000,0,1,1,0,1,1,1,0,1
92,0,1,82,582,1000,0,1,1,0,1,1,1,0,1
93,0,1,136,616,1000,0,1,1,0,1,1,1,0,1
94,0,1,80,576,1000,0,1,1,0,1,1,1,0,1
95,0,1,64,447,1000,0,1,1,0,1,1,1,0,1
96,0,1,145,760,1000,0,1,1,0,1,1,1,0,1
97,0,1,105,647,1000,0,1,1,0,1,1,1,0,1
98,0,1,98,579,1000,0,1,1,0,1,1,1,0,1
99,0,1,88,506,1000,0,1,1,0,1,1,1,0,1
100,0,1,111,619,1000,0,1,1,0,1,1,1,0,1
101,0,1,129,610,1000,0,1,1,0,1,1,1,0,1
102,0,1,95,491,1000,0,1,1,0,1,1,1,0,1
103,0,1,98,574,1000,0,1,1,0,1,1,1,0,1
104,0,1,99,573,1000,0,1,1,0,1,1,1,0,1
105,0,1,119,610,1000,0,1,1,0,1,1,1,0,1
106,0,1,79,591,1000,0,1,1,0,1,1,1,0,1
107,0,1,120,615,1000,0,1,1,0,1,1,1,0,1
108,0,1,101,557,1000,0,1,1,0,1,1,1,0,1
109,0,1,113,638,1000,0,1,1,0,1,1,1,0,1
110,0,1,106,560,1000,0,1,1,0,1,1,1,0,1
